countrycode,countryname,income_level
ABW,Aruba,High Income
AFG,Afghanistan,Low Income
AGO,Angola,Lower Middle Income
ALB,Albania,Upper Middle Income
AND,Andorra,High Income
ARE,United Arab Emirates,High Income
ARG,Argentina,Upper Middle Income
ARM,Armenia,Upper Middle Income
ASM,American Samoa,Upper Middle Income
ATG,Antigua and Barbuda,High Income
AUS,Australia,High Income
AUT,Austria,High Income
AZE,Azerbaijan,Upper Middle Income
BDI,Burundi,Low Income
BEL,Belgium,High Income
BEN,Benin,Lower Middle Income
BFA,Burkina Faso,Low Income
BGD,Bangladesh,Lower Middle Income
BGR,Bulgaria,Upper Middle Income
BHR,Bahrain,High Income
BHS,"Bahamas, The",High Income
BIH,Bosnia and Herzegovina,Upper Middle Income
BLR,Belarus,Upper Middle Income
BLZ,Belize,Upper Middle Income
BMU,Bermuda,High Income
BOL,Bolivia,Lower Middle Income
BRA,Brazil,Upper Middle Income
BRB,Barbados,High Income
BRN,Brunei Darussalam,High Income
BTN,Bhutan,Lower Middle Income
BWA,Botswana,Upper Middle Income
CAF,Central African Republic,Low Income
CAN,Canada,High Income
CHE,Switzerland,High Income
CHI,Channel Islands,High Income
CHL,Chile,High Income
CHN,China,Upper Middle Income
CIV,Cote d'Ivoire,Lower Middle Income
CMR,Cameroon,Lower Middle Income
COD,"Congo, Dem. Rep.",Low Income
COG,"Congo, Rep.",Lower Middle Income
COL,Colombia,Upper Middle Income
COM,Comoros,Lower Middle Income
CPV,Cabo Verde,Lower Middle Income
CRI,Costa Rica,Upper Middle Income
CUB,Cuba,Upper Middle Income
CUW,Curacao,High Income
CYM,Cayman Islands,High Income
CYP,Cyprus,High Income
CZE,Czech Republic,High Income
DEU,Germany,High Income
DJI,Djibouti,Lower Middle Income
DMA,Dominica,Upper Middle Income
DNK,Denmark,High Income
DOM,Dominican Republic,Upper Middle Income
DZA,Algeria,Lower Middle Income
ECU,Ecuador,Upper Middle Income
EGY,"Egypt, Arab Rep.",Lower Middle Income
ERI,Eritrea,Low Income
ESP,Spain,High Income
EST,Estonia,High Income
ETH,Ethiopia,Low Income
FIN,Finland,High Income
FJI,Fiji,Upper Middle Income
FRA,France,High Income
FRO,Faroe Islands,High Income
FSM,"Micronesia, Fed. Sts.",Lower Middle Income
GAB,Gabon,Upper Middle Income
GBR,United Kingdom,High Income
GEO,Georgia,Upper Middle Income
GHA,Ghana,Lower Middle Income
GIB,Gibraltar,High Income
GIN,Guinea,Low Income
GMB,"Gambia, The",Low Income
GNB,Guinea-Bissau,Low Income
GNQ,Equatorial Guinea,Upper Middle Income
GRC,Greece,High Income
GRD,Grenada,Upper Middle Income
GRL,Greenland,High Income
GTM,Guatemala,Upper Middle Income
GUM,Guam,High Income
GUY,Guyana,Upper Middle Income
HKG,"Hong Kong SAR, China",High Income
HND,Honduras,Lower Middle Income
HRV,Croatia,High Income
HTI,Haiti,Low Income
HUN,Hungary,High Income
IDN,Indonesia,Upper Middle Income
IMN,Isle of Man,High Income
IND,India,Lower Middle Income
IRL,Ireland,High Income
IRN,"Iran, Islamic Rep.",Upper Middle Income
IRQ,Iraq,Upper Middle Income
ISL,Iceland,High Income
ISR,Israel,High Income
ITA,Italy,High Income
JAM,Jamaica,Upper Middle Income
JOR,Jordan,Upper Middle Income
JPN,Japan,High Income
KAZ,Kazakhstan,Upper Middle Income
KEN,Kenya,Lower Middle Income
KGZ,Kyrgyz Republic,Lower Middle Income
KHM,Cambodia,Lower Middle Income
KIR,Kiribati,Lower Middle Income
KNA,St. Kitts and Nevis,High Income
KOR,"Korea, Rep.",High Income
KWT,Kuwait,High Income
LAO,Lao PDR,Lower Middle Income
LBN,Lebanon,Upper Middle Income
LBR,Liberia,Low Income
LBY,Libya,Upper Middle Income
LCA,St. Lucia,Upper Middle Income
